node_name,price_cpu,price_mem,price_net,price_queue,task_name,updated_time
node1,N/A,N/A,N/A,N/A,aggregate2,N/A
node2,N/A,N/A,N/A,N/A,aggregate2,N/A
node3,N/A,N/A,N/A,N/A,aggregate2,N/A
node1,N/A,N/A,N/A,N/A,astutedetector2,N/A
node2,N/A,N/A,N/A,N/A,astutedetector2,N/A
node3,N/A,N/A,N/A,N/A,astutedetector2,N/A
node1,N/A,N/A,N/A,N/A,astutedetector1,N/A
node2,N/A,N/A,N/A,N/A,astutedetector1,N/A
node3,N/A,N/A,N/A,N/A,astutedetector1,N/A
node1,N/A,N/A,N/A,N/A,simpledetector2,N/A
node2,N/A,N/A,N/A,N/A,simpledetector2,N/A
node3,N/A,N/A,N/A,N/A,simpledetector2,N/A
node1,N/A,N/A,N/A,N/A,globalfusion,N/A
node2,N/A,N/A,N/A,N/A,globalfusion,N/A
node3,N/A,N/A,N/A,N/A,globalfusion,N/A
node1,N/A,N/A,N/A,N/A,localpro,N/A
node2,N/A,N/A,N/A,N/A,localpro,N/A
node3,N/A,N/A,N/A,N/A,localpro,N/A
node1,N/A,N/A,N/A,N/A,astutedetector0,N/A
node2,N/A,N/A,N/A,N/A,astutedetector0,N/A
node3,N/A,N/A,N/A,N/A,astutedetector0,N/A
node1,N/A,N/A,N/A,N/A,aggregate0,N/A
node2,N/A,N/A,N/A,N/A,aggregate0,N/A
node3,N/A,N/A,N/A,N/A,aggregate0,N/A
node1,N/A,N/A,N/A,N/A,aggregate1,N/A
node2,N/A,N/A,N/A,N/A,aggregate1,N/A
node3,N/A,N/A,N/A,N/A,aggregate1,N/A
node1,N/A,N/A,N/A,N/A,simpledetector0,N/A
node2,N/A,N/A,N/A,N/A,simpledetector0,N/A
node3,N/A,N/A,N/A,N/A,simpledetector0,N/A
node1,N/A,N/A,N/A,N/A,simpledetector1,N/A
node2,N/A,N/A,N/A,N/A,simpledetector1,N/A
node3,N/A,N/A,N/A,N/A,simpledetector1,N/A
node1,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node2,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node3,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node1,N/A,N/A,N/A,N/A,fusioncenter1,N/A
node2,N/A,N/A,N/A,N/A,fusioncenter1,N/A
node3,N/A,N/A,N/A,N/A,fusioncenter1,N/A
node1,N/A,N/A,N/A,N/A,fusioncenter2,N/A
node2,N/A,N/A,N/A,N/A,fusioncenter2,N/A
node3,N/A,N/A,N/A,N/A,fusioncenter2,N/A
node3,18.169881889763783,48.087598425196994,home 1321.682061664971 node2 1404.2052731808428 node1 1591.6333353668667 ,0,aggregate0,31.03.19 07:26:14
node3,18.169881889763783,48.087598425196994,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector0,31.03.19 07:26:14
node3,18.169881889763783,48.087598425196994,home 1284.6383506756436 node2 1374.5722364145083 node1 1565.818083971615 ,0,simpledetector2,31.03.19 07:26:14
node3,18.169881889763783,48.087598425196994,home 1291.0679920840153 node2 1379.711544629322 node1 1570.297113454158 ,0,aggregate1,31.03.19 07:26:15
node1,7.370669291338585,45.39409448818909,node3 1508.4724283876844 node2 2981.884904105738 home 2620.1313112557773 ,0,aggregate0,31.03.19 07:26:15
node3,18.169881889763783,48.087598425196994,home 1284.4763877216305 node2 1374.4427987705092 node1 1565.7052661030873 ,0,astutedetector0,31.03.19 07:26:15
node1,7.370669291338585,45.39409448818909,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector0,31.03.19 07:26:15
node3,18.169881889763783,48.087598425196994,home 1284.295939813622 node2 1374.2985895667416 node1 1565.5795727705938 ,0,fusioncenter2,31.03.19 07:26:15
node3,18.169881889763783,48.087598425196994,home 1284.4402991287052 node2 1374.4139576139783 node1 1565.6801280810523 ,0,astutedetector1,31.03.19 07:26:15
node3,18.169881889763783,48.087598425196994,home 1292.7130956983713 node2 1381.02677206435 node1 1571.4432421644503 ,0,aggregate2,31.03.19 07:26:15
node1,7.370669291338585,45.39409448818909,node3 1472.151562806035 node2 2342.7769483439474 home 2542.7700679533473 ,0,simpledetector2,31.03.19 07:26:15
node1,7.370669291338585,45.39409448818909,node3 1478.4546434576428 node2 2460.510861215409 home 2556.197210862259 ,0,aggregate1,31.03.19 07:26:16
node3,18.169881889763783,48.087598425196994,home 1284.3251560276738 node2 1374.3219383038124 node1 1565.5999236662162 ,0,globalfusion,31.03.19 07:26:16
node1,7.370669291338585,45.39409448818909,node3 1471.9927937895193 node2 2339.7748430552665 home 2542.431839623632 ,0,astutedetector0,31.03.19 07:26:16
node1,7.370669291338585,45.39409448818909,node3 1471.8159046841467 node2 2336.428004982817 home 2542.0550091551772 ,0,fusioncenter2,31.03.19 07:26:16
node3,18.169881889763783,48.087598425196994,home 1284.2770350319038 node2 1374.283481440934 node1 1565.566404431489 ,0,fusioncenter1,31.03.19 07:26:16
node3,18.169881889763783,48.087598425196994,home 1284.3062514555727 node2 1374.3068303230727 node1 1565.5867554637496 ,0,fusioncenter0,31.03.19 07:26:16
node3,18.169881889763783,48.087598425196994,home 1336.7155544280615 node2 1416.2477584825585 node1 1602.1168471984597 ,0,localpro,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1471.957416909071 node2 2339.105670851268 home 2542.3564755848693 ,0,astutedetector1,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1480.0674381534614 node2 2490.180422826309 home 2559.632737104504 ,0,aggregate2,31.03.19 07:26:17
node3,18.169881889763783,48.087598425196994,home 1284.507320407828 node2 1374.4675194895287 node1 1565.7268127226469 ,0,astutedetector2,31.03.19 07:26:17
node3,18.169881889763783,48.087598425196994,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector1,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1471.844544670355 node2 2336.970039726347 home 2542.116021545179 ,0,globalfusion,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1471.7973727641286 node2 2336.0772425000646 home 2542.015530191085 ,0,fusioncenter1,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1471.8260129497667 node2 2336.6193186741634 home 2542.076543016769 ,0,fusioncenter0,31.03.19 07:26:17
node1,7.370669291338585,45.39409448818909,node3 1523.2170097177097 node2 3213.7074139192605 home 2651.5284293750437 ,0,localpro,31.03.19 07:26:18
node1,7.370669291338585,45.39409448818909,node3 1472.0231164555728 node2 2340.3483414647226 home 2542.496436553366 ,0,astutedetector2,31.03.19 07:26:18
node1,7.370669291338585,45.39409448818909,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector1,31.03.19 07:26:18
node2,6.475245579567776,48.04243614931225,node3 1308.7092504697603 node1 2484.1975576928303 home 138.68735481742027 ,0,aggregate0,31.03.19 07:26:46
node2,6.475245579567776,48.04243614931225,node3 1265.9520718138717 node1 2395.7546598012577 home 136.8027531248613 ,0,simpledetector0,31.03.19 07:26:46
node2,6.475245579567776,48.04243614931225,node3 1265.924281021663 node1 2395.697180520978 home 136.80153176416124 ,0,simpledetector2,31.03.19 07:26:47
node2,6.475245579567776,48.04243614931225,node3 1273.3515209511363 node1 2411.059092993129 home 137.12811005637337 ,0,aggregate1,31.03.19 07:26:47
node2,6.475245579567776,48.04243614931225,node3 1265.737182668062 node1 2395.310207983798 home 136.79330921085875 ,0,astutedetector0,31.03.19 07:26:48
node2,6.475245579567776,48.04243614931225,node3 1265.5287303007658 node1 2394.879069674741 home 136.78414844043573 ,0,fusioncenter2,31.03.19 07:26:48
node2,6.475245579567776,48.04243614931225,node3 1265.6954933651793 node1 2395.2239827098792 home 136.79147708765186 ,0,astutedetector1,31.03.19 07:26:48
node2,6.475245579567776,48.04243614931225,node3 1275.2517995403286 node1 2414.989563243789 home 137.21171870215272 ,0,aggregate2,31.03.19 07:26:49
node2,6.475245579567776,48.04243614931225,node3 1265.5624807243953 node1 2394.948875045123 home 136.78563163897647 ,0,globalfusion,31.03.19 07:26:49
node2,6.475245579567776,48.04243614931225,node3 1265.5068915869722 node1 2394.833901076972 home 136.78318871834153 ,0,fusioncenter1,31.03.19 07:26:50
node2,6.475245579567776,48.04243614931225,node3 1265.540642258785 node1 2394.9037069536303 home 136.78467192342893 ,0,fusioncenter0,31.03.19 07:26:50
node2,6.475245579567776,48.04243614931225,node3 1326.0682968096025 node1 2520.1097746691794 home 139.45568533994697 ,0,localpro,31.03.19 07:26:50
node2,6.475245579567776,48.04243614931225,node3 1265.7729158904053 node1 2395.3841144111593 home 136.79487958989088 ,0,astutedetector2,31.03.19 07:26:50
node2,6.475245579567776,48.04243614931225,node3 1265.9520718138717 node1 2395.7546598012577 home 136.8027531248613 ,0,simpledetector1,31.03.19 07:26:51
home,-1,-1,node1 2554.508610346098 node2 136.96364544313056 node3 1299.5682244532318 ,-1,localpro,31.03.19 07:28:00
node3,18.174755381604697,48.09158512720171,home 1321.682061664971 node2 1404.2052731808428 node1 1591.6333353668667 ,0,aggregate0,31.03.19 07:29:14
node3,18.174755381604697,48.09158512720171,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector0,31.03.19 07:29:14
node3,18.174755381604697,48.09158512720171,home 1284.6383506756436 node2 1374.5722364145083 node1 1565.818083971615 ,0,simpledetector2,31.03.19 07:29:14
node1,7.372407045009787,45.46418786692771,node3 1508.4724283876844 node2 2981.884904105738 home 2620.1313112557773 ,0,aggregate0,31.03.19 07:29:15
node3,18.174755381604697,48.09158512720171,home 1291.0679920840153 node2 1379.711544629322 node1 1570.297113454158 ,0,aggregate1,31.03.19 07:29:15
node1,7.372407045009787,45.46418786692771,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector0,31.03.19 07:29:15
node3,18.174755381604697,48.09158512720171,home 1284.4763877216305 node2 1374.4427987705092 node1 1565.7052661030873 ,0,astutedetector0,31.03.19 07:29:15
node3,18.174755381604697,48.09158512720171,home 1284.295939813622 node2 1374.2985895667416 node1 1565.5795727705938 ,0,fusioncenter2,31.03.19 07:29:15
node1,7.372407045009787,45.46418786692771,node3 1472.151562806035 node2 2342.7769483439474 home 2542.7700679533473 ,0,simpledetector2,31.03.19 07:29:15
node3,18.174755381604697,48.09158512720171,home 1284.4402991287052 node2 1374.4139576139783 node1 1565.6801280810523 ,0,astutedetector1,31.03.19 07:29:15
node1,7.372407045009787,45.46418786692771,node3 1478.4546434576428 node2 2460.510861215409 home 2556.197210862259 ,0,aggregate1,31.03.19 07:29:15
node3,18.174755381604697,48.09158512720171,home 1292.7130956983713 node2 1381.02677206435 node1 1571.4432421644503 ,0,aggregate2,31.03.19 07:29:16
node1,7.372407045009787,45.46418786692771,node3 1471.9927937895193 node2 2339.7748430552665 home 2542.431839623632 ,0,astutedetector0,31.03.19 07:29:16
node3,18.174755381604697,48.09158512720171,home 1284.3251560276738 node2 1374.3219383038124 node1 1565.5999236662162 ,0,globalfusion,31.03.19 07:29:16
node1,7.372407045009787,45.46418786692771,node3 1471.8159046841467 node2 2336.428004982817 home 2542.0550091551772 ,0,fusioncenter2,31.03.19 07:29:16
node3,18.174755381604697,48.09158512720171,home 1284.2770350319038 node2 1374.283481440934 node1 1565.566404431489 ,0,fusioncenter1,31.03.19 07:29:16
node3,18.174755381604697,48.09158512720171,home 1284.3062514555727 node2 1374.3068303230727 node1 1565.5867554637496 ,0,fusioncenter0,31.03.19 07:29:17
node1,7.372407045009787,45.46418786692771,node3 1471.957416909071 node2 2339.105670851268 home 2542.3564755848693 ,0,astutedetector1,31.03.19 07:29:17
node3,18.174755381604697,48.09158512720171,home 1336.7155544280615 node2 1416.2477584825585 node1 1602.1168471984597 ,0,localpro,31.03.19 07:29:17
node1,7.372407045009787,45.46418786692771,node3 1480.0674381534614 node2 2490.180422826309 home 2559.632737104504 ,0,aggregate2,31.03.19 07:29:17
node3,18.174755381604697,48.09158512720171,home 1284.507320407828 node2 1374.4675194895287 node1 1565.7268127226469 ,0,astutedetector2,31.03.19 07:29:17
node1,7.372407045009787,45.46418786692771,node3 1471.844544670355 node2 2336.970039726347 home 2542.116021545179 ,0,globalfusion,31.03.19 07:29:17
node3,18.174755381604697,48.09158512720171,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector1,31.03.19 07:29:17
node1,7.372407045009787,45.46418786692771,node3 1471.7973727641286 node2 2336.0772425000646 home 2542.015530191085 ,0,fusioncenter1,31.03.19 07:29:17
node1,7.372407045009787,45.46418786692771,node3 1471.8260129497667 node2 2336.6193186741634 home 2542.076543016769 ,0,fusioncenter0,31.03.19 07:29:18
node1,7.372407045009787,45.46418786692771,node3 1523.2170097177097 node2 3213.7074139192605 home 2651.5284293750437 ,0,localpro,31.03.19 07:29:18
node1,7.372407045009787,45.46418786692771,node3 1472.0231164555728 node2 2340.3483414647226 home 2542.496436553366 ,0,astutedetector2,31.03.19 07:29:18
node1,7.372407045009787,45.46418786692771,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector1,31.03.19 07:29:19
node2,6.473828124999996,48.018164062499885,node3 1308.7092504697603 node1 2484.1975576928303 home 138.68735481742027 ,0,aggregate0,31.03.19 07:29:46
node2,6.473828124999996,48.018164062499885,node3 1265.9520718138717 node1 2395.7546598012577 home 136.8027531248613 ,0,simpledetector0,31.03.19 07:29:46
node2,6.473828124999996,48.018164062499885,node3 1265.924281021663 node1 2395.697180520978 home 136.80153176416124 ,0,simpledetector2,31.03.19 07:29:47
node2,6.473828124999996,48.018164062499885,node3 1273.3515209511363 node1 2411.059092993129 home 137.12811005637337 ,0,aggregate1,31.03.19 07:29:47
node2,6.473828124999996,48.018164062499885,node3 1265.737182668062 node1 2395.310207983798 home 136.79330921085875 ,0,astutedetector0,31.03.19 07:29:48
node2,6.473828124999996,48.018164062499885,node3 1265.5287303007658 node1 2394.879069674741 home 136.78414844043573 ,0,fusioncenter2,31.03.19 07:29:48
node2,6.473828124999996,48.018164062499885,node3 1265.6954933651793 node1 2395.2239827098792 home 136.79147708765186 ,0,astutedetector1,31.03.19 07:29:48
node2,6.473828124999996,48.018164062499885,node3 1275.2517995403286 node1 2414.989563243789 home 137.21171870215272 ,0,aggregate2,31.03.19 07:29:48
node2,6.473828124999996,48.018164062499885,node3 1265.5624807243953 node1 2394.948875045123 home 136.78563163897647 ,0,globalfusion,31.03.19 07:29:49
node2,6.473828124999996,48.018164062499885,node3 1265.5068915869722 node1 2394.833901076972 home 136.78318871834153 ,0,fusioncenter1,31.03.19 07:29:49
node2,6.473828124999996,48.018164062499885,node3 1265.540642258785 node1 2394.9037069536303 home 136.78467192342893 ,0,fusioncenter0,31.03.19 07:29:50
node2,6.473828124999996,48.018164062499885,node3 1326.0682968096025 node1 2520.1097746691794 home 139.45568533994697 ,0,localpro,31.03.19 07:29:50
node2,6.473828124999996,48.018164062499885,node3 1265.7729158904053 node1 2395.3841144111593 home 136.79487958989088 ,0,astutedetector2,31.03.19 07:29:50
node2,6.473828124999996,48.018164062499885,node3 1265.9520718138717 node1 2395.7546598012577 home 136.8027531248613 ,0,simpledetector1,31.03.19 07:29:51
home,-1,-1,node1 2554.508610346098 node2 136.96364544313056 node3 1299.5682244532318 ,-1,localpro,31.03.19 07:31:00
node3,18.17782101167315,48.096498054474864,home 1321.682061664971 node2 1404.2052731808428 node1 1591.6333353668667 ,0,aggregate0,31.03.19 07:32:14
node3,18.17782101167315,48.096498054474864,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector0,31.03.19 07:32:14
node1,7.374319066147863,45.53579766536976,node3 1508.4724283876844 node2 2981.884904105738 home 2620.1313112557773 ,0,aggregate0,31.03.19 07:32:15
node3,18.17782101167315,48.096498054474864,home 1284.6383506756436 node2 1374.5722364145083 node1 1565.818083971615 ,0,simpledetector2,31.03.19 07:32:15
node1,7.374319066147863,45.53579766536976,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector0,31.03.19 07:32:15
node3,18.17782101167315,48.096498054474864,home 1291.0679920840153 node2 1379.711544629322 node1 1570.297113454158 ,0,aggregate1,31.03.19 07:32:15
node1,7.374319066147863,45.53579766536976,node3 1472.151562806035 node2 2342.7769483439474 home 2542.7700679533473 ,0,simpledetector2,31.03.19 07:32:15
node3,18.17782101167315,48.096498054474864,home 1284.4763877216305 node2 1374.4427987705092 node1 1565.7052661030873 ,0,astutedetector0,31.03.19 07:32:15
node1,7.374319066147863,45.53579766536976,node3 1478.4546434576428 node2 2460.510861215409 home 2556.197210862259 ,0,aggregate1,31.03.19 07:32:16
node3,18.17782101167315,48.096498054474864,home 1284.295939813622 node2 1374.2985895667416 node1 1565.5795727705938 ,0,fusioncenter2,31.03.19 07:32:16
node1,7.374319066147863,45.53579766536976,node3 1471.9927937895193 node2 2339.7748430552665 home 2542.431839623632 ,0,astutedetector0,31.03.19 07:32:16
node3,18.17782101167315,48.096498054474864,home 1284.4402991287052 node2 1374.4139576139783 node1 1565.6801280810523 ,0,astutedetector1,31.03.19 07:32:16
node3,18.17782101167315,48.096498054474864,home 1292.7130956983713 node2 1381.02677206435 node1 1571.4432421644503 ,0,aggregate2,31.03.19 07:32:16
node1,7.374319066147863,45.53579766536976,node3 1471.8159046841467 node2 2336.428004982817 home 2542.0550091551772 ,0,fusioncenter2,31.03.19 07:32:16
node1,7.374319066147863,45.53579766536976,node3 1471.957416909071 node2 2339.105670851268 home 2542.3564755848693 ,0,astutedetector1,31.03.19 07:32:16
node3,18.17782101167315,48.096498054474864,home 1284.3251560276738 node2 1374.3219383038124 node1 1565.5999236662162 ,0,globalfusion,31.03.19 07:32:16
node1,7.374319066147863,45.53579766536976,node3 1480.0674381534614 node2 2490.180422826309 home 2559.632737104504 ,0,aggregate2,31.03.19 07:32:17
node3,18.17782101167315,48.096498054474864,home 1284.2770350319038 node2 1374.283481440934 node1 1565.566404431489 ,0,fusioncenter1,31.03.19 07:32:17
node3,18.17782101167315,48.096498054474864,home 1284.3062514555727 node2 1374.3068303230727 node1 1565.5867554637496 ,0,fusioncenter0,31.03.19 07:32:17
node1,7.374319066147863,45.53579766536976,node3 1471.844544670355 node2 2336.970039726347 home 2542.116021545179 ,0,globalfusion,31.03.19 07:32:17
node3,18.17782101167315,48.096498054474864,home 1336.7155544280615 node2 1416.2477584825585 node1 1602.1168471984597 ,0,localpro,31.03.19 07:32:17
node1,7.374319066147863,45.53579766536976,node3 1471.7973727641286 node2 2336.0772425000646 home 2542.015530191085 ,0,fusioncenter1,31.03.19 07:32:17
node1,7.374319066147863,45.53579766536976,node3 1471.8260129497667 node2 2336.6193186741634 home 2542.076543016769 ,0,fusioncenter0,31.03.19 07:32:17
node3,18.17782101167315,48.096498054474864,home 1284.507320407828 node2 1374.4675194895287 node1 1565.7268127226469 ,0,astutedetector2,31.03.19 07:32:17
node3,18.17782101167315,48.096498054474864,home 1284.6624079838705 node2 1374.5914626385147 node1 1565.8348415098153 ,0,simpledetector1,31.03.19 07:32:18
node1,7.374319066147863,45.53579766536976,node3 1523.2170097177097 node2 3213.7074139192605 home 2651.5284293750437 ,0,localpro,31.03.19 07:32:18
node1,7.374319066147863,45.53579766536976,node3 1472.0231164555728 node2 2340.3483414647226 home 2542.496436553366 ,0,astutedetector2,31.03.19 07:32:18
node1,7.374319066147863,45.53579766536976,node3 1472.1751457245089 node2 2343.2227165256227 home 2542.8203070008053 ,0,simpledetector1,31.03.19 07:32:18
node2,6.47184466019417,47.993786407766876,node3 1308.7092504697603 node1 2484.1975576928303 home 138.68735481742027 ,0,aggregate0,31.03.19 07:32:46
